"","sample.ID","seq.ID","abundance","fill_col"
"89","AU18_neg12","2175452_C",5,"2175452_C"
"90","AU18_neg12","2175407_C",5,"2175407_C"
"91","AU18_neg12","1714031_C",5,"1714031_C"
"92","AU18_neg12","1703694_C",5,"1703694_C"
"93","AU18_0737","1148411_C",6,"1148411_C"
"94","AU18_0332","C3cl",6,"C3cl"
"95","AU18_0332","D6g",6,"D6g"
"96","AU18_0824","D2.2",6,"D2.2"
"97","AU18_0485","1611789_C",6,"1611789_C"
"98","AU18_0485","2239310_C",6,"2239310_C"
"99","AU18_1010","D17e",6,"D17e"
"100","AU18_1010","D17c",6,"D17c"
"101","AU18_0237","47106_C",6,"47106_C"
"102","AU18_0237","47105_C",6,"47105_C"
"103","AU18_0237","2783458_C",6,"2783458_C"
"104","AU18_0067","1491900_C",6,"1491900_C"
"105","AU18_0067","C42ao",6,"C42ao"
"106","AU18_0067","1670177_C",6,"1670177_C"
"107","AU18_0748","C8a",6,"C8a"
"108","AU18_0748","2282561_C",6,"2282561_C"
"109","AU18_0744","C39ab",6,"C39ab"
"110","AU18_0744","2885796_C",6,"2885796_C"
"111","AU18_0468","C22ad",6,"C22ad"
"112","AU18_0468","C8",6,"C8"
"113","AU18_0468","C1ao",6,"C1ao"
"114","AU18_0065","103346_C",6,"103346_C"
"115","AU18_0065","2885774_C",6,"2885774_C"
"116","AU18_0319","D4",6,"D4"
"117","AU18_0319","214657_D",6,"214657_D"
"118","AU18_0319","145593_D",6,"145593_D"
"119","AU18_neg12","C22",6,"C22"
"120","AU18_neg12","C3co",6,"C3co"
"121","AU18_neg12","C8n",6,"C8n"
"122","AU18_neg12","99803_C",6,"99803_C"
"123","AU18_neg12","870396_C",6,"870396_C"
"124","AU18_neg12","756079_C",6,"756079_C"
"125","AU18_neg12","463034_C",6,"463034_C"
"126","AU18_0332","2282560_C",7,"2282560_C"
"127","AU18_0332","D1r",7,"D1r"
"128","AU18_0485","1148411_C",7,"1148411_C"
"129","AU18_0485","C8a",7,"C8a"
"130","AU18_0485","C42e",7,"C42e"
"131","AU18_0895","D17j",7,"D17j"
"132","AU18_0876","D17l",7,"D17l"
"133","AU18_1010","1170996_D",7,"1170996_D"
"134","AU18_0071","766366_C",7,"766366_C"
"135","AU18_0071","C3mk",7,"C3mk"
"136","AU18_0064","2783481_C",7,"2783481_C"
"137","AU18_0064","91281_C",7,"91281_C"
"138","AU18_0067","2885766_C",7,"2885766_C"
"139","AU18_0067","2786470_C",7,"2786470_C"
"140","AU18_0748","C1n",7,"C1n"
"141","AU18_0744","24193_C",7,"24193_C"
"142","AU18_0468","C22",7,"C22"
"143","AU18_0468","C72k",7,"C72k"
"144","AU18_0065","C3ed",7,"C3ed"
"145","AU18_0113","C22",7,"C22"
"146","AU18_0747","7488_D",7,"7488_D"
"147","AU18_neg12","C42ea",7,"C42ea"
"148","AU18_neg12","C1ef",7,"C1ef"
"149","AU18_neg12","C15ed",7,"C15ed"
"150","AU18_neg12","C116t",7,"C116t"
"151","AU18_neg12","2885782_C",7,"2885782_C"
"152","AU18_neg12","2239592_C",7,"2239592_C"
"153","AU18_neg12","2230021_C",7,"2230021_C"
"154","AU18_0457","C21",8,"C21"
"155","AU18_0737","1611789_C",8,"1611789_C"
"156","AU18_1129","D17d",8,"D17d"
"157","AU18_0332","37253_C",8,"37253_C"
"158","AU18_0332","D6c",8,"D6c"
"159","AU18_0332","D17e",8,"D17e"
"160","AU18_0108","2174376_C",8,"2174376_C"
"161","AU18_0108","21025_C",8,"21025_C"
"162","AU18_0824","D1ej",8,"D1ej"
"163","AU18_0824","10616_D",8,"10616_D"
"164","AU18_0485","1626916_C",8,"1626916_C"
"165","AU18_0485","2174376_C",8,"2174376_C"
"166","AU18_0895","1658362_C",8,"1658362_C"
"167","AU18_0876","D17c",8,"D17c"
"168","AU18_1010","C1cb",8,"C1cb"
"169","AU18_1010","1626302_C",8,"1626302_C"
"170","AU18_1010","1670248_C",8,"1670248_C"
"171","AU18_0071","1163943_C",8,"1163943_C"
"172","AU18_0237","2783544_C",8,"2783544_C"
"173","AU18_0064","1029753_C",8,"1029753_C"
"174","AU18_0064","93539_C",8,"93539_C"
"175","AU18_0064","255526_C",8,"255526_C"
"176","AU18_0067","90920_C",8,"90920_C"
"177","AU18_0067","1150766_C",8,"1150766_C"
"178","AU18_0748","C78c",8,"C78c"
"179","AU18_0748","1645836_C",8,"1645836_C"
"180","AU18_0744","2885794_C",8,"2885794_C"
"181","AU18_0065","2885773_C",8,"2885773_C"
"182","AU18_0065","C3tv",8,"C3tv"
"183","AU18_0319","909_D",8,"909_D"
"184","AU18_0747","D1id",8,"D1id"
"185","AU18_0747","2175598_D",8,"2175598_D"
"186","AU18_0747","D17al",8,"D17al"
"187","AU18_0747","D17l",8,"D17l"
"188","AU18_neg12","C3gk",8,"C3gk"
"189","AU18_neg12","C79b",8,"C79b"
"190","AU18_neg12","C15bb",8,"C15bb"
"191","AU18_neg12","7528_C",8,"7528_C"
"192","AU18_neg12","2885781_C",8,"2885781_C"
"193","AU18_neg12","2239488_C",8,"2239488_C"
"194","AU18_neg12","73441_G",8,"73441_G"
"195","AU18_1129","D1d",9,"D1d"
"196","AU18_0332","172931_D",9,"172931_D"
"197","AU18_0108","1626916_C",9,"1626916_C"
"198","AU18_0485","C21",9,"C21"
"199","AU18_0485","C78c",9,"C78c"
"200","AU18_0895","2282558_C",9,"2282558_C"
"201","AU18_0895","19245_D",9,"19245_D"
"202","AU18_1010","C1bh",9,"C1bh"
"203","AU18_1010","D1af",9,"D1af"
"204","AU18_1010","32528_D",9,"32528_D"
"205","AU18_1010","D1r",9,"D1r"
"206","AU18_0071","2783481_C",9,"2783481_C"
"207","AU18_0071","2885740_C",9,"2885740_C"
"208","AU18_0237","90920_C",9,"90920_C"
"209","AU18_0237","91281_C",9,"91281_C"
"210","AU18_0237","2885749_C",9,"2885749_C"
"211","AU18_0237","22178_C",9,"22178_C"
"212","AU18_0064","C3",9,"C3"
"213","AU18_0064","1491900_C",9,"1491900_C"
"214","AU18_0064","1150766_C",9,"1150766_C"
"215","AU18_0064","392267_C",9,"392267_C"
"216","AU18_0067","C3mk",9,"C3mk"
"217","AU18_0748","1611789_C",9,"1611789_C"
"218","AU18_0748","2282565_C",9,"2282565_C"
"219","AU18_0744","C21",9,"C21"
"220","AU18_0744","1645719_C",9,"1645719_C"
"221","AU18_0744","D17c",9,"D17c"
"222","AU18_0468","C1b",9,"C1b"
"223","AU18_0113","2885769_C",9,"2885769_C"
"224","AU18_0319","D1ja",9,"D1ja"
"225","AU18_0747","D17j",9,"D17j"
"226","AU18_1121","C1n",9,"C1n"
"227","AU18_1121","1147954_C",9,"1147954_C"
"228","AU18_0586","C3.2",9,"C3.2"
"229","AU18_neg12","C42ae",9,"C42ae"
"230","AU18_neg12","C8e",9,"C8e"
"231","AU18_neg12","C15.8",9,"C15.8"
"232","AU18_neg12","G3ai",9,"G3ai"
"233","AU18_neg12","2885779_G",9,"2885779_G"
"234","AU18_0457","1670426_C",10,"1670426_C"
"235","AU18_0737","1147954_C",10,"1147954_C"
"236","AU18_0737","1630543_C",10,"1630543_C"
"237","AU18_0260","C1",10,"C1"
"238","AU18_0895","2885794_C",10,"2885794_C"
"239","AU18_0876","D17al",10,"D17al"
"240","AU18_0876","D1u",10,"D1u"
"241","AU18_0071","C79b",10,"C79b"
"242","AU18_0237","147220_C",10,"147220_C"
"243","AU18_0237","2783357_C",10,"2783357_C"
"244","AU18_0237","208_C",10,"208_C"
"245","AU18_0064","90920_C",10,"90920_C"
"246","AU18_0064","150940_C",10,"150940_C"
"247","AU18_0744","1630543_C",10,"1630543_C"
"248","AU18_0744","1669953_C",10,"1669953_C"
"249","AU18_0744","D17e",10,"D17e"
"250","AU18_0468","C1am",10,"C1am"
"251","AU18_1041","2885802_D",10,"2885802_D"
"252","AU18_1041","102838_D",10,"102838_D"
"253","AU18_0457","1612485_C",11,"1612485_C"
"254","AU18_0457","1645877_C",11,"1645877_C"
"255","AU18_0256","2174376_C",11,"2174376_C"
"256","AU18_0256","1642017_C",11,"1642017_C"
"257","AU18_0485","1147954_C",11,"1147954_C"
"258","AU18_0895","C1",11,"C1"
"259","AU18_0895","2282560_C",11,"2282560_C"
"260","AU18_0895","D2",11,"D2"
"261","AU18_0895","2175598_D",11,"2175598_D"
"262","AU18_0876","1653201_C",11,"1653201_C"
"263","AU18_0876","17682_D",11,"17682_D"
"264","AU18_0599","2885761_D",11,"2885761_D"
"265","AU18_1010","D6c",11,"D6c"
"266","AU18_0071","C8",11,"C8"
"267","AU18_0071","47105_C",11,"47105_C"
"268","AU18_0071","C120b",11,"C120b"
"269","AU18_0064","147220_C",11,"147220_C"
"270","AU18_0064","92851_C",11,"92851_C"
"271","AU18_0067","44745_C",11,"44745_C"
"272","AU18_0748","C8",11,"C8"
"273","AU18_0748","2282558_C",11,"2282558_C"
"274","AU18_0744","2282558_C",11,"2282558_C"
"275","AU18_0744","2282561_C",11,"2282561_C"
"276","AU18_0744","D1u",11,"D1u"
"277","AU18_0248","37253_C",11,"37253_C"
"278","AU18_1041","1675094_C",11,"1675094_C"
"279","AU18_1041","7279_D",11,"7279_D"
"280","AU18_1041","10626_D",11,"10626_D"
"281","AU18_0065","2885772_C",11,"2885772_C"
"282","AU18_0113","C115d",11,"C115d"
"283","AU18_0747","D2",11,"D2"
"284","AU18_neg12","C79a",11,"C79a"
"285","AU18_neg12","C75h",11,"C75h"
"286","AU18_neg12","2239404_C",11,"2239404_C"
"287","AU18_0112","44745_C",11,"44745_C"
"288","AU18_1129","D6",12,"D6"
"289","AU18_0332","1147954_C",12,"1147954_C"
"290","AU18_0108","C1nu",12,"C1nu"
"291","AU18_0485","1630543_C",12,"1630543_C"
"292","AU18_1010","C50f",12,"C50f"
"293","AU18_0237","1031429_C",12,"1031429_C"
"294","AU18_0067","47105_C",12,"47105_C"
"295","AU18_0744","D17l",12,"D17l"
"296","AU18_0248","C1go",12,"C1go"
"297","AU18_1041","D6g",12,"D6g"
"298","AU18_1041","D1r",12,"D1r"
"299","AU18_1041","D17c",12,"D17c"
"300","AU18_1041","28248_D",12,"28248_D"
"301","AU18_1041","104830_D",12,"104830_D"
"302","AU18_1078","D1",12,"D1"
