"","sample.ID","seq.ID","abundance"
"265","AU18_0331","1148411_C",50
"266","AU18_0331","37253_C",55
"267","AU18_0331","C21",57
"268","AU18_0331","1630543_C",26
"269","AU18_0331","1626916_C",22
"270","AU18_0331","1645678_C",38
"271","AU18_0331","1622915_C",44
"272","AU18_0331","1670084_C",23
"273","AU18_0331","2786619_C",35
"274","AU18_0251","C22",5420
"275","AU18_0251","C22ad",2808
"276","AU18_0251","C3",2160
"277","AU18_0251","C22ah",388
"278","AU18_0251","1611788_C",170
"279","AU18_0251","1645568_C",212
"280","AU18_0251","1147954_C",121
"281","AU18_0251","1148411_C",96
"282","AU18_0251","37253_C",121
"283","AU18_0251","C21",115
"284","AU18_0251","1630543_C",83
"285","AU18_0251","1626916_C",52
"286","AU18_0251","1645678_C",101
"287","AU18_0251","2174376_C",53
"288","AU18_0251","1622915_C",72
"289","AU18_0251","1670084_C",53
"290","AU18_0251","2786619_C",59
"291","AU18_0460","C22",1925
"292","AU18_0460","C22ad",891
"293","AU18_0460","C3",471
"294","AU18_0460","C22ah",122
"295","AU18_0460","1611788_C",63
"296","AU18_0460","1645568_C",46
"297","AU18_0460","1147954_C",61
"298","AU18_0460","1148411_C",60
"299","AU18_0460","37253_C",49
"300","AU18_0460","1630543_C",32
"301","AU18_0460","1612485_C",32
"302","AU18_0460","1626916_C",15
"303","AU18_0460","1645678_C",35
"304","AU18_0460","1670084_C",20
"305","AU18_0460","1630513_C",18
"306","AU18_0432","C22",1398
"307","AU18_0432","C22ad",556
"308","AU18_0432","C3",361
"309","AU18_0432","C22ah",101
"310","AU18_0432","1611788_C",35
"311","AU18_0432","1645568_C",48
"312","AU18_0432","1147954_C",21
"313","AU18_0432","1148411_C",45
"314","AU18_0432","37253_C",33
"315","AU18_0432","C21",14
"316","AU18_0432","1630543_C",20
"317","AU18_0432","1612485_C",15
"318","AU18_0432","1645678_C",23
"319","AU18_0432","1622915_C",18
"320","AU18_0432","2786619_C",21
"321","AU18_0432","1630513_C",13
"322","AU18_1083","C22",3479
"323","AU18_1083","C22ad",1436
"324","AU18_1083","C3",1261
"325","AU18_1083","C22ah",254
"326","AU18_1083","1611788_C",108
"327","AU18_1083","1645568_C",131
"328","AU18_1083","1147954_C",109
"329","AU18_1083","1148411_C",103
"330","AU18_1083","37253_C",77
"331","AU18_1083","C21",65
"332","AU18_1083","1630543_C",39
"333","AU18_1083","1612485_C",33
"334","AU18_1083","1645678_C",88
"335","AU18_1083","1622915_C",46
"336","AU18_1083","1670084_C",37
"337","AU18_0459","C22",2116
"338","AU18_0459","C22ad",744
"339","AU18_0459","C3",445
"340","AU18_0459","C22ah",178
"341","AU18_0459","1611788_C",73
"342","AU18_0459","1645568_C",77
"343","AU18_0459","1147954_C",51
"344","AU18_0459","1148411_C",62
"345","AU18_0459","37253_C",20
"346","AU18_0459","1630543_C",31
"347","AU18_0459","1612485_C",30
"348","AU18_0459","1626916_C",20
"349","AU18_0459","2174376_C",17
"350","AU18_0459","1622915_C",25
"351","AU18_0459","1670084_C",21
"352","AU18_0459","2786619_C",27
"353","AU18_0737","C22",666
"354","AU18_0737","C22ad",323
