"","sample.ID","seq.ID","abundance","cumulative_abundance","total_abundance","cumulative_percentage","fill_col","sample_uid","host_genus","host_species","collection_longitude","collection_latitude","facet_column"
"91","AU18_0237","C3",5,33,1189,0.0277544154751892,"C3","158733","Turbinaria","Turbinaria_patula",153.26519,-30.20489,"a"
"92","AU18_0237","44745_C",5,38,1189,0.031959629941127,"44745_C","158733","Turbinaria","Turbinaria_patula",153.26519,-30.20489,"a"
"93","AU18_0237","C3mk",5,43,1189,0.0361648444070648,"C3mk","158733","Turbinaria","Turbinaria_patula",153.26519,-30.20489,"a"
"94","AU18_0237","91418_C",5,48,1189,0.0403700588730025,"91418_C","158733","Turbinaria","Turbinaria_patula",153.26519,-30.20489,"a"
"95","AU18_0067","20466_C",5,5,1291,0.00387296669248644,"20466_C","158706","Turbinaria","Turbinaria_patula",153.18158,-30.24195,"a"
"96","AU18_0067","2885767_C",5,10,1291,0.00774593338497289,"2885767_C","158706","Turbinaria","Turbinaria_patula",153.18158,-30.24195,"a"
"97","AU18_0067","2783601_C",5,15,1291,0.0116189000774593,"2783601_C","158706","Turbinaria","Turbinaria_patula",153.18158,-30.24195,"a"
"98","AU18_0821","C1",5,9,5108,0.00176194205168363,"C1","158806","Turbinaria","Turbinaria_sp.",151.929,-23.43327,"a"
"99","AU18_0821","C8",5,14,5108,0.00274079874706343,"C8","158806","Turbinaria","Turbinaria_sp.",151.929,-23.43327,"a"
"100","AU18_0748","37253_C",5,5,5331,0.0009379103357719,"37253_C","158805","Turbinaria","Turbinaria_mesenterina",151.929,-23.43327,"a"
"101","AU18_0748","C79",5,10,5331,0.0018758206715438,"C79","158805","Turbinaria","Turbinaria_mesenterina",151.929,-23.43327,"a"
"102","AU18_0748","C79b",5,15,5331,0.0028137310073157,"C79b","158805","Turbinaria","Turbinaria_mesenterina",151.929,-23.43327,"a"
"103","AU18_0748","1084218_C",5,20,5331,0.0037516413430876,"1084218_C","158805","Turbinaria","Turbinaria_mesenterina",151.929,-23.43327,"a"
"104","AU18_0468","C50b",5,13,6629,0.00196108010257957,"C50b","158764","Turbinaria","Turbinaria_patula",153.52519,-27.41415,"a"
"105","AU18_0468","C1an",5,18,6629,0.0027153416804948,"C1an","158764","Turbinaria","Turbinaria_patula",153.52519,-27.41415,"a"
"106","AU18_0065","333087_C",5,21,1050,0.02,"333087_C","158705","Turbinaria","Turbinaria_mesenterina",153.18158,-30.24195,"a"
"107","AU18_0065","C3ub",5,26,1050,0.0247619047619048,"C3ub","158705","Turbinaria","Turbinaria_mesenterina",153.18158,-30.24195,"a"
"108","AU18_0232","42703_C",5,5,472,0.010593220338983,"42703_C","158731","Turbinaria","Turbinaria_patula",153.26942,-30.01767,"a"
